"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Sept 2008","10.850,66","11.545,63","11.790,17","10.365,45","6,30B","-6,00%"
"Août 2008","11.543,55","11.379,89","11.867,11","11.221,53","3,58B","1,45%"
"Juill 2008","11.378,02","11.344,64","11.698,17","10.827,71","5,52B","0,25%"
"Juin 2008","11.350,01","12.637,67","12.638,08","11.287,56","5,31B","-10,19%"
"Mai 2008","12.638,32","12.818,34","13.136,69","12.442,59","4,53B","-1,42%"
"Avr 2008","12.820,13","12.266,64","13.010,00","12.266,47","5,05B","4,54%"
"Mar 2008","12.262,89","12.264,36","12.622,07","11.731,60","6,23B","-0,03%"
"Févr 2008","12.266,39","12.638,17","12.767,74","12.069,47","5,72B","-3,04%"
"Jan 2008","12.650,36","13.261,82","13.279,54","11.634,82","7,46B","-4,63%"
"Déc 2007","13.264,82","13.368,22","13.780,11","13.092,00","4,31B","-0,80%"
"Nov 2007","13.371,72","13.924,16","13.924,16","12.724,09","5,98B","-4,01%"
"Oct 2007","13.930,01","13.895,71","14.198,10","13.407,49","5,01B","0,25%"
"Sept 2007","13.895,63","13.358,39","13.924,81","13.021,93","4,33B","4,03%"
"Août 2007","13.357,74","13.211,09","13.695,82","12.517,94","6,20B","1,10%"
"Juill 2007","13.211,99","13.409,60","14.021,95","13.199,79","5,51B","-1,47%"
"Juin 2007","13.408,62","13.628,69","13.692,00","13.251,53","5,22B","-1,61%"
"Mai 2007","13.627,64","13.062,75","13.673,07","13.041,30","4,99B","4,32%"
"Avr 2007","13.062,91","12.354,52","13.162,06","12.324,28","4,82B","5,74%"
"Mar 2007","12.354,35","12.265,59","12.511,05","11.939,61","5,63B","0,70%"
"Févr 2007","12.268,63","12.617,20","12.795,93","12.086,06","4,35B","-2,80%"
"Jan 2007","12.621,69","12.459,54","12.657,02","12.337,37","4,99B","1,27%"
"Déc 2006","12.463,15","12.220,97","12.529,88","12.089,98","4,34B","1,97%"
"Nov 2006","12.221,93","12.080,25","12.361,00","11.965,31","4,72B","1,17%"
"Oct 2006","12.080,73","11.678,99","12.167,02","11.653,06","5,54B","3,44%"
"Sept 2006","11.679,07","11.382,75","11.741,99","11.323,84","4,49B","2,62%"
"Août 2006","11.381,15","11.184,80","11.407,08","11.042,64","4,62B","1,75%"
"Juill 2006","11.185,68","11.149,34","11.257,08","10.683,32","5,55B","0,32%"
"Juin 2006","11.150,22","11.169,03","11.285,82","10.698,85","6,92B","-0,16%"
"Mai 2006","11.168,31","11.367,78","11.670,19","11.030,47","7,30B","-1,75%"
"Avr 2006","11.367,14","11.113,00","11.417,66","11.039,12","5,58B","2,32%"
"Mar 2006","11.109,32","10.993,25","11.334,96","10.922,73","6,68B","1,05%"
"Févr 2006","10.993,41","10.862,14","11.159,18","10.737,67","5,76B","1,18%"
"Jan 2006","10.864,86","10.718,30","11.047,76","10.661,15","6,43B","1,37%"
"Déc 2005","10.717,50","10.806,03","10.940,34","10.709,42","5,22B","-0,82%"
"Nov 2005","10.805,87","10.437,51","10.959,79","10.388,76","5,39B","3,50%"
"Oct 2005","10.440,07","10.569,50","10.608,56","10.156,46","5,83B","-1,22%"
"Sept 2005","10.568,70","10.481,44","10.701,81","10.350,96","5,22B","0,83%"
"Août 2005","10.481,60","10.641,78","10.719,41","10.349,37","5,08B","-1,50%"
"Juill 2005","10.640,91","10.273,59","10.717,73","10.175,40","4,82B","3,56%"
"Juin 2005","10.274,97","10.462,86","10.656,29","10.253,49","5,03B","-1,84%"
"Mai 2005","10.467,48","10.192,00","10.560,81","10.075,55","4,84B","2,70%"
"Avr 2005","10.192,51","10.504,57","10.568,93","10.000,46","5,85B","-2,96%"
"Mar 2005","10.503,76","10.769,04","10.984,46","10.396,24","5,82B","-2,44%"
"Févr 2005","10.766,23","10.489,72","10.853,43","10.489,64","5,04B","2,63%"
"Jan 2005","10.489,94","10.783,75","10.867,39","10.368,61","5,30B","-2,72%"
"Déc 2004","10.783,01","10.425,80","10.868,07","10.418,63","5,74B","3,40%"
"Nov 2004","10.428,02","10.028,73","10.602,85","10.010,15","5,61B","3,99%"
"Oct 2004","10.027,47","10.082,04","10.270,37","9.708,40","5,29B","-0,52%"
"Sept 2004","10.080,27","10.170,12","10.363,36","9.977,92","4,63B","-0,92%"
"Août 2004","10.173,92","10.138,45","10.211,25","9.783,91","3,72B","0,34%"
"Juill 2004","10.139,71","10.434,00","10.448,09","9.913,92","4,45B","-2,83%"
"Juin 2004","10.435,48","10.187,18","10.487,54","10.134,86","4,11B","2,42%"
"Mai 2004","10.188,45","10.227,27","10.386,32","9.852,19","4,02B","-0,36%"
"Avr 2004","10.225,57","10.357,52","10.570,81","10.219,18","4,53B","-1,28%"
"Mar 2004","10.357,70","10.582,25","10.695,55","10.007,49","4,97B","-2,14%"
"Févr 2004","10.583,92","10.487,78","10.753,63","10.434,67","3,82B","0,91%"
"Jan 2004","10.488,07","10.452,74","10.705,18","10.367,41","4,38B","0,33%"
"Déc 2003","10.453,92","9.785,35","10.462,44","9.785,35","4,17B","6,86%"
"Nov 2003","9.782,46","9.802,46","9.903,57","9.585,50","3,55B","-0,19%"
"Oct 2003","9.801,12","9.276,80","9.850,01","9.276,80","4,79B","5,67%"
