"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Févr 1995","1.776,85","1.811,11","1.887,78","1.769,74","-","-1,17%"
"Jan 1995","1.797,90","1.883,43","1.909,82","1.764,35","-","-4,43%"
"Déc 1994","1.881,15","1.976,23","2.003,19","1.873,12","-","-4,80%"
"Nov 1994","1.975,94","1.880,42","1.977,97","1.859,14","-","3,69%"
"Oct 1994","1.905,69","1.865,28","1.959,46","1.796,82","-","1,41%"
"Sept 1994","1.879,25","2.064,75","2.064,75","1.856,52","-","-9,17%"
"Août 1994","2.069,08","2.077,15","2.125,52","1.962,40","-","-0,28%"
"Juill 1994","2.074,99","1.899,25","2.092,68","1.854,84","-","9,67%"
"Juin 1994","1.892,00","2.043,43","2.060,40","1.856,34","-","-6,79%"
"Mai 1994","2.029,90","2.165,96","2.217,74","2.013,61","-","-6,28%"
"Avr 1994","2.165,96","2.067,80","2.188,61","2.057,17","-","4,04%"
"Mar 1994","2.081,94","2.241,72","2.260,60","2.069,37","-","-6,98%"
"Févr 1994","2.238,06","2.339,09","2.360,98","2.178,24","-","-4,13%"
"Jan 1994","2.334,36","2.263,03","2.349,20","2.217,75","-","2,92%"
"Déc 1993","2.268,22","2.118,62","2.289,48","2.112,61","-","7,49%"
"Nov 1993","2.110,09","2.174,34","2.191,81","2.056,93","-","-3,29%"
"Oct 1993","2.181,95","2.114,35","2.240,15","2.102,84","-","3,18%"
"Sept 1993","2.114,63","2.205,14","2.207,61","2.051,95","-","-4,60%"
"Août 1993","2.216,49","2.131,22","2.222,87","2.085,80","-","6,26%"
"Juill 1993","2.085,88","1.982,72","2.099,14","1.909,81","-","5,78%"
"Juin 1993","1.971,87","1.870,78","1.994,34","1.853,28","-","4,40%"
"Mai 1993","1.888,70","1.925,26","1.943,07","1.821,32","-","-2,60%"
"Avr 1993","1.939,03","2.023,23","2.027,00","1.899,22","-","-4,55%"
"Mar 1993","2.031,38","2.005,18","2.050,11","1.927,18","-","2,40%"
"Févr 1993","1.983,71","1.766,31","1.986,95","1.766,31","-","11,93%"
"Jan 1993","1.772,21","1.834,47","1.870,44","1.755,90","-","-4,61%"
"Déc 1992","1.857,78","1.771,88","1.874,20","1.707,05","-","4,88%"
"Nov 1992","1.771,37","1.770,13","1.831,18","1.660,42","-","1,66%"
"Oct 1992","1.742,40","1.758,38","1.785,44","1.577,74","-","0,33%"
"Sept 1992","1.736,73","1.680,31","1.893,61","1.659,84","-","3,08%"
"Août 1992","1.684,88","1.755,45","1.810,36","1.640,94","-","-3,98%"
"Juill 1992","1.754,67","1.893,03","1.900,63","1.715,42","-","-7,68%"
"Juin 1992","1.900,63","2.027,93","2.035,72","1.880,51","-","-6,52%"
"Mai 1992","2.033,29","2.023,70","2.080,80","1.995,22","-","0,11%"
"Avr 1992","2.031,14","1.933,40","2.042,50","1.899,90","-","4,57%"
"Mar 1992","1.942,43","1.974,80","1.997,56","1.877,53","-","-2,06%"
"Févr 1992","1.983,38","1.869,11","2.004,18","1.840,30","-","5,77%"
"Jan 1992","1.875,25","1.755,28","1.895,79","1.746,55","-","6,21%"
"Déc 1991","1.765,66","1.720,05","1.787,70","1.610,23","-","1,49%"
"Nov 1991","1.739,70","1.854,67","1.872,42","1.731,47","-","-6,30%"
"Oct 1991","1.856,67","1.887,97","1.892,37","1.825,64","-","-1,27%"
"Sept 1991","1.880,59","1.859,86","1.897,26","1.838,04","-","0,88%"
"Août 1991","1.864,26","1.762,06","1.867,63","1.663,28","-","6,24%"
"Juill 1991","1.754,73","1.767,72","1.785,80","1.697,08","-","0,41%"
"Juin 1991","1.747,62","1.864,46","1.877,87","1.734,45","-","-6,13%"
"Mai 1991","1.861,78","1.793,19","1.864,36","1.785,47","-","4,64%"
"Avr 1991","1.779,18","1.815,63","1.859,32","1.761,96","-","-2,05%"
"Mar 1991","1.816,36","1.745,81","1.855,77","1.726,41","-","3,21%"
"Févr 1991","1.759,79","1.577,01","1.761,96","1.565,89","-","11,33%"
"Jan 1991","1.580,67","1.504,30","1.600,13","1.425,26","-","4,13%"
"Déc 1990","1.517,93","1.627,87","1.709,38","1.498,16","-","-5,43%"
"Nov 1990","1.605,12","1.630,06","1.653,95","1.549,04","-","-2,46%"
"Oct 1990","1.645,57","1.515,54","1.681,80","1.511,63","-","10,31%"
"Sept 1990","1.491,76","1.668,57","1.687,49","1.471,71","-","-11,74%"
"Août 1990","1.690,17","1.716,20","1.716,20","1.682,43","-","-14,01%"
"Juill 1990","1.965,57","2.025,42","2.046,19","1.944,93","-","-3,41%"
"Juin 1990","2.035,03","2.035,03","2.035,03","2.035,03","-","-3,44%"
"Mai 1990","2.107,51","2.107,51","2.107,51","2.107,51","-","2,98%"
"Avr 1990","2.046,46","2.046,46","2.046,46","2.046,46","-","3,79%"
"Mar 1990","1.971,79","1.971,79","1.971,79","1.971,79","-","6,60%"
"Févr 1990","1.849,68","1.849,68","1.849,68","1.849,68","-","-1,76%"
"Jan 1990","1.882,88","1.882,88","1.882,88","1.882,88","-","-5,91%"
"Déc 1989","2.001,08","2.001,08","2.001,08","2.001,08","-","5,85%"
"Nov 1989","1.890,43","1.890,43","1.890,43","1.890,43","-","3,90%"
"Oct 1989","1.819,51","1.819,51","1.819,51","1.819,51","-","-4,54%"
"Sept 1989","1.906,12","1.906,12","1.906,12","1.906,12","-","1,61%"
"Août 1989","1.875,92","1.875,92","1.875,92","1.875,92","-","3,40%"
"Juill 1989","1.814,19","1.814,19","1.814,19","1.814,19","-","5,00%"
"Juin 1989","1.727,86","1.727,86","1.727,86","1.727,86","-","-0,10%"
"Mai 1989","1.729,65","1.729,65","1.729,65","1.729,65","-","2,92%"
"Avr 1989","1.680,53","1.680,53","1.680,53","1.680,53","-","2,17%"
"Mar 1989","1.644,81","1.644,81","1.644,81","1.644,81","-","4,10%"
"Févr 1989","1.580,07","1.580,07","1.580,07","1.580,07","-","-4,53%"
"Jan 1989","1.654,99","1.654,99","1.654,99","1.654,99","-","5,15%"
"Déc 1988","1.573,94","1.573,94","1.573,94","1.573,94","-","6,29%"
"Nov 1988","1.480,75","1.480,75","1.480,75","1.480,75","-","-1,02%"
"Oct 1988","1.495,96","1.495,96","1.495,96","1.495,96","-","5,55%"
"Sept 1988","1.417,32","1.417,32","1.417,32","1.417,32","-","9,75%"
"Août 1988","1.291,45","1.291,45","1.291,45","1.291,45","-","-2,20%"
"Juill 1988","1.320,55","1.320,55","1.320,55","1.320,55","-","0,03%"
"Juin 1988","1.320,17","1.320,17","1.320,17","1.320,17","-","6,83%"
"Mai 1988","1.235,78","1.235,78","1.235,78","1.235,78","-","9,60%"
"Avr 1988","1.127,54","1.127,54","1.127,54","1.127,54","-","10,90%"
"Mar 1988","1.016,71","1.016,71","1.016,71","1.016,71","-","-8,62%"
"Févr 1988","1.112,58","1.112,58","1.112,58","1.112,58","-","24,47%"
"Jan 1988","893,82","984,61","1.032,20","893,82","-","-10,62%"
"Déc 1987","1.000,00","1.026,93","1.046,77","956,47","-","-3,61%"
"Nov 1987","1.037,43","1.114,68","1.114,68","954,72","-","-7,08%"
"Oct 1987","1.116,47","1.450,08","1.463,00","1.008,92","-","-22,89%"
"Sept 1987","1.447,87","1.533,97","1.560,70","1.447,87","-","-5,59%"
"Août 1987","1.533,59","1.484,24","1.533,59","1.450,06","-","3,04%"
