"Date","Dernier","Ouv.","Plus Haut","Plus Bas","Vol.","Variation %"
"Juin 2000","6.446,54","6.428,46","6.780,66","6.391,64","795,40M","0,32%"
"Mai 2000","6.426,26","6.489,04","6.591,44","6.003,90","762,17M","0,10%"
"Avr 2000","6.419,72","6.382,28","6.461,52","5.752,44","526,10M","2,13%"
"Mar 2000","6.286,05","6.272,13","6.590,35","6.144,07","637,75M","1,54%"
"Févr 2000","6.190,96","5.700,87","6.396,97","5.700,87","649,73M","9,38%"
"Jan 2000","5.659,81","6.024,38","6.102,12","5.388,85","637,00M","-5,01%"
"Déc 1999","5.958,32","5.315,75","5.979,54","5.312,89","510,24M","11,55%"
"Nov 1999","5.341,62","4.872,88","5.443,23","4.831,82","557,72M","9,27%"
"Oct 1999","4.888,62","4.588,80","4.903,43","4.452,93","472,06M","6,47%"
"Sept 1999","4.591,42","4.606,80","4.773,82","4.499,87","554,24M","0,05%"
"Août 1999","4.589,22","4.321,18","4.671,28","4.197,38","410,27M","4,73%"
"Juill 1999","4.382,06","4.608,58","4.702,62","4.291,94","430,30M","-3,41%"
"Juin 1999","4.536,61","4.323,08","4.587,97","4.282,79","447,83M","4,26%"
"Mai 1999","4.351,29","4.413,72","4.483,94","4.243,22","332,20M","-1,23%"
"Avr 1999","4.405,35","4.154,75","4.432,59","4.150,79","348,59M","4,94%"
"Mar 1999","4.197,88","4.096,27","4.262,32","3.986,58","435,16M","2,56%"
"Févr 1999","4.092,94","4.310,69","4.354,29","3.954,56","382,63M","-3,74%"
"Jan 1999","4.251,80","4.030,44","4.320,52","3.845,77","431,93M","7,84%"
"Déc 1998","3.942,66","3.756,98","3.942,66","3.584,42","338,99M","2,58%"
"Nov 1998","3.843,38","3.552,45","3.983,25","3.502,76","356,81M","9,10%"
"Oct 1998","3.522,93","3.129,34","3.560,03","2.881,21","429,16M","10,16%"
"Sept 1998","3.197,95","3.563,51","3.822,91","3.185,51","502,71M","-12,43%"
"Août 1998","3.651,85","4.091,62","4.159,70","3.584,26","302,67M","-12,58%"
"Juill 1998","4.177,31","4.260,74","4.404,94","4.094,89","312,55M","-0,62%"
"Juin 1998","4.203,45","4.061,94","4.263,61","3.947,94","347,58M","4,02%"
"Mai 1998","4.041,16","3.948,47","4.146,79","3.900,17","304,32M","4,13%"
"Avr 1998","3.880,92","3.885,26","3.992,20","3.667,00","320,57M","0,13%"
"Mar 1998","3.875,81","3.420,81","3.886,06","3.329,40","396,64M","13,26%"
"Févr 1998","3.421,92","3.206,29","3.431,45","3.147,80","357,12M","7,87%"
"Jan 1998","3.172,14","3.012,01","3.173,98","2.809,73","345,10M","5,78%"
"Déc 1997","2.998,91","2.878,35","3.007,28","2.815,69","-","4,89%"
"Nov 1997","2.859,19","2.746,02","2.876,33","2.649,51","-","4,38%"
"Oct 1997","2.739,30","2.999,12","3.114,00","2.475,01","-","-8,94%"
"Sept 1997","3.008,26","2.796,39","3.027,90","2.781,39","-","8,58%"
"Août 1997","2.770,49","3.097,19","3.097,19","2.764,10","-","-9,92%"
"Juill 1997","3.075,67","2.866,10","3.107,31","2.830,68","-","7,61%"
"Juin 1997","2.858,26","2.512,62","2.903,18","2.498,75","-","10,62%"
"Mai 1997","2.583,94","2.646,05","2.804,51","2.536,08","-","-2,10%"
"Avr 1997","2.639,46","2.585,12","2.644,81","2.487,80","-","-0,65%"
"Mar 1997","2.656,68","2.616,92","2.736,71","2.541,49","-","1,88%"
"Févr 1997","2.607,55","2.519,72","2.658,62","2.498,84","-","3,62%"
"Jan 1997","2.516,56","2.305,87","2.521,88","2.251,53","-","8,67%"
"Déc 1996","2.315,73","2.308,04","2.358,65","2.171,57","-","0,00%"
"Nov 1996","2.315,66","2.121,58","2.327,81","2.121,58","-","8,18%"
"Oct 1996","2.140,51","2.131,46","2.190,76","2.116,79","-","0,36%"
"Sept 1996","2.132,81","1.972,70","2.133,08","1.949,71","-","8,23%"
"Août 1996","1.970,61","2.002,99","2.031,49","1.962,41","-","-1,27%"
"Juill 1996","1.995,89","2.110,91","2.130,97","1.939,64","-","-6,02%"
"Juin 1996","2.123,70","2.105,43","2.147,46","2.073,06","-","0,65%"
"Mai 1996","2.110,06","2.154,85","2.164,15","2.074,63","-","-1,71%"
"Avr 1996","2.146,79","2.059,43","2.151,57","2.041,07","-","4,99%"
"Mar 1996","2.044,77","2.004,48","2.048,17","1.919,07","-","2,71%"
"Févr 1996","1.990,77","2.021,06","2.032,43","1.914,00","-","-1,50%"
"Jan 1996","2.021,03","1.873,36","2.021,03","1.873,14","-","7,96%"
"Déc 1995","1.871,97","1.828,35","1.896,00","1.766,58","-","2,39%"
"Nov 1995","1.828,28","1.835,14","1.909,95","1.805,57","-","0,79%"
"Oct 1995","1.814,01","1.788,32","1.830,48","1.713,25","-","1,43%"
"Sept 1995","1.788,35","1.885,72","1.911,43","1.747,52","-","-5,05%"
"Août 1995","1.883,39","1.929,70","1.989,44","1.873,04","-","-1,91%"
"Juill 1995","1.920,04","1.858,71","1.972,62","1.856,46","-","3,29%"
"Juin 1995","1.858,82","1.963,37","1.983,58","1.850,74","-","-4,58%"
"Mai 1995","1.947,95","1.912,93","2.025,15","1.912,93","-","1,54%"
"Avr 1995","1.918,46","1.847,79","1.962,86","1.838,60","-","3,17%"
"Mar 1995","1.859,48","1.786,77","1.899,49","1.711,80","-","4,65%"
